и	conj	37273.4	35782.3	34053.7	20750.8
в	pr	25564.5	36182.6	34589.4	19300.7
не	part	22284.8	16957.5	11853.7	23444.5
я	spro	17800.2	10838.3	6204	33686.4
на	pr	16688.4	16596.9	13509.4	11776.4
быть	v	12887.1	12844.9	9127.3	17328.9
он	spro	17713.3	9126.3	5012.9	13896.9
а	conj	10155.9	7283	6634.9	20593.3
с	pr	11429	11469.2	11425.4	8469.2
что	conj	8674.5	8785.7	6522.8	8983.2
это	spro	6003.7	5872.9	4716.9	11820.5
она	spro	9048.2	3803.5	2556.5	10303.6
у	pr	5314.9	3906.7	3372.5	11807.9
этот	apro	4811	5965.5	5424.6	6382.7
ты	spro	6153.6	1213.7	1315.1	13503.8
по	pr	4736.9	6541.6	6838.9	3612.2
они	spro	5502.4	4843.9	3539.2	7194.1
вот	part	2388.4	1339.8	1579.7	15698.6
мы	spro	4311.8	5433.1	2814.3	8309.2
ну	part	1792.6	475.6	1293.3	17208
что	spro	5137.4	3136.8	2539.7	9167.2
к	pr	5407.4	5396	5476.8	2977.2
но	conj	6154.8	5639.5	3138.7	3997.7
так	advpro	4105.3	3100	2902.2	8528.4
как	conj	4873.2	4271.7	3754.5	3643.7
то	spro	3509.2	4472.2	3605.6	4056.9
такой	apro	2635.8	2700	2963.7	6968.6
из	pr	4114.2	4772.9	3849.3	1707.2
который	apro	3102.6	4981.7	4587.5	1669.4
все	spro	4028.9	2862.4	1771.7	5667.1
да	part	1164.2	425.7	873.1	11847
весь	apro	3798.3	4104.7	2968.1	3260.7
там	advpro	1456	899.8	1005.4	10531.7
за	pr	4474.3	3991.4	2702.6	2707.6
вы	spro	4215.6	2133.1	1989.7	5303
год	s	1466	5589.5	4624.2	1954.1
же	part	3777.8	3029.7	2115.5	4103.6
от	pr	3615.3	3651.8	3955	1338
мочь	v	2862.4	2834	3091.7	3542.9
свой	apro	3870.3	4293.9	2512	1375.8
для	pr	1818.1	3883.7	5044.8	1096.1
о	pr	2569.6	3988.9	3716.3	1045.7
говорить	v	2178.4	1566.2	1122.4	6275.7
знать	v	2537.5	1270	985.3	6269.4
как	advpro	2654.7	2041.8	1688.5	4568.5
тот	apro	2687.6	3219.5	2971	1614
или	conj	1773.3	2274.3	3874.1	2203.6
уже	adv	2533.5	2249.1	1335.6	3844
еще	adv	2927.2	2241.7	1321.6	3420.7
только	part	2497.6	2480.4	1935.8	2672.3
сказать	v	4115.7	1484.2	801.3	3098.1
бы	part	2868.4	2167	1435.3	2790.7
человек	s	2669.9	2950.1	1945.3	1597.6
один	apro	2183.5	2454.5	1976.9	2283
если	conj	1948.3	2021.1	2077.5	2356
его	apro	2658.5	2636.1	2217.6	522.9
до	pr	1881.9	2255.6	2111.4	1606.4
себя	spro	2865.6	2028.6	1496	1409.9
когда	conj	2170.4	1938	1088.5	2315.7
время	s	1661	2364.6	2080.5	1310.3
сам	apro	2337.9	1951.1	1326.3	1734.9
другой	apro	1529.3	1970	2224.6	1087.3
очень	adv	1174.3	1496.9	1094.3	2996.1
нет	part	929.3	353	440.3	4618.9
надо	adv	1295.9	877.1	627.9	3361.5
при	pr	759	1577.5	3460.2	289.8
мой	apro	2136.7	1754.6	722.7	1453.1
сейчас	advpro	1131.5	829.3	585.2	3473.7
какой	apro	1401.7	938.9	798.8	2710.1
два	num	1313	1342.9	1190.9	1942.8
да	conj	1288.9	527.1	441.3	3445.9
наш	apro	1288	2323	1102.5	951.2
кто	spro	1804.4	1285.4	635.7	1927.7
дело	s	1415.3	1482	1339.5	1277.6
хотеть	v	1392.7	809.2	564.3	2516.1
потом	advpro	1482.4	829.1	445.2	2524.9
можно	adv	864.5	1264.9	1420.6	1616.5
нет	adv	1013.1	848.3	656	2645.8
тоже	adv	1157.3	684.1	589	2711.3
стать	v	1727.8	1868	808.7	709.3
раз	s	1325.6	1117.6	817.7	1772.7
чтобы	conj	1537.3	1613.5	927.8	931.1
первый	anum	997.6	1718.5	1306	984
день	s	1281.4	1397.8	882.9	1355
где	advpro	1317.9	1141.3	707.5	1663.1
даже	part	1390.1	1221.2	675.6	1528.3
ничто	spro	1380	669.7	434	2169.6
просто	part	715.9	640.9	585	2519.8
работа	s	573.2	1272.4	1766.4	777.4
идти	v	1234.1	891.7	524.2	1736.2
жизнь	s	1299.6	1548.4	949.2	572
новый	a	688	1675.6	1372.4	611.1
вообще	adv	394.9	423.1	503.3	2989.8
ее	apro	1454.5	1089.8	1102.8	653.9
ли	part	1176.6	954.8	627.2	1540.9
со	pr	1245	1179.9	922.6	917.2
тут	advpro	1409.2	648.7	314.5	1853.3
какой-то	apro	1023	661.6	415.8	2066.3
во	pr	993.8	1357.1	1055.1	704.3
самый	apro	921.9	1213.1	735.6	1131.4
думать	v	1127.4	553.8	427.2	1771.4
после	pr	860.9	1349.3	993.6	609.8
их	apro	722.9	1155.8	1751.6	177.7
делать	v	755	719.8	553.4	1761.4
тогда	advpro	946.2	883.7	460.6	1472.8
без	pr	1140.5	1024.5	793.2	788.7
что-то	spro	1019.8	488.1	351.7	1871
рука	s	2137.9	713	372.1	496.4
большой	a	811.1	1115.7	899.4	863
конечно	adv	742.3	677.2	396	1868.5
под	pr	1406.4	1063.6	748.8	442.2
потому	advpro	896.3	732.1	425.4	1593.8
должен	a	665.3	1105	1152.5	709.3
здесь	advpro	951	746.2	594.4	1311.6
смотреть	v	933.8	426	677.2	1540.9
