там	advpro	1428.0	1485.8	1452.5	1036.2	1067.5	886.5
под	pr	1405.5	1392.4	1411.6	1200.8	1042.6	1062.4
можно	adv	778.6	839.4	895.8	889.5	1166.2	1278.5
ну	part	2007.1	1862.0	1712.0	375.1	502.6	480.1
какой	apro	1434.0	1474.8	1367.1	954.7	1200.7	920.1
после	pr	783.6	763.8	915.9	1119.2	1405.0	1349.6
их	apro	665.4	640.9	767.3	1045.1	1128.4	1156.9
работа	s	661.5	583.8	546.5	1243.8	1278.5	1273.2
без	pr	1003.2	1169.5	1165.7	950.2	1162.9	1016.9
самый	apro	980.3	906.3	912.4	1120.7	1066.1	1227.3
потом	advpro	1538.3	1393.5	1499.9	796.1	1245.5	802.5
надо	adv	1348.1	1497.5	1209.9	858.3	1068.6	865.5
хотеть	v	1344.0	1372.7	1412.5	716.0	930.7	802.4
ли	part	1014.9	1192.1	1212.9	1000.6	1090.3	945.6
слово	s	989.9	1054.5	970.5	1217.1	1086.2	981.7
идти	v	1629.5	1347.5	1090.8	978.4	1171.3	871.6
большой	a	925.5	856.5	765.2	1366.8	1252.0	1099.0
должен	a	669.1	647.9	670.5	840.5	985.7	1115.7
место	s	860.9	891.7	893.8	741.2	1046.2	974.1
иметь	v	503.0	607.8	603.0	713.0	938.8	1006.2
ничто	spro	1428.5	1376.5	1368.6	810.9	768.5	662.3
то	conj	847.6	781.2	806.3	759.0	953.4	1005.7
сейчас	advpro	1358.0	1075.7	1092.8	692.6	815.0	838.7
тут	advpro	1374.5	1566.2	1361.7	772.4	1134.7	611.7
лицо	s	1352.9	1019.2	1062.3	756.0	647.9	562.0
каждый	apro	850.6	800.9	719.2	1165.2	1172.8	934.7
друг	s	927.0	1051.7	1053.4	899.8	996.4	842.5
нет	adv	951.6	1025.2	1024.6	704.2	844.9	853.0
теперь	advpro	1397.0	1332.4	1210.9	865.7	871.3	726.4
ни	part	1038.5	1065.8	1117.0	1031.8	950.1	831.4
глаз	s	1852.3	1483.0	1544.7	766.4	664.4	465.6
тоже	adv	1176.9	1235.2	1124.3	727.9	866.9	671.4
тогда	advpro	912.8	979.9	942.8	969.5	1319.5	848.6
видеть	v	1321.2	1205.7	1133.9	1019.9	968.9	606.1
вопрос	s	402.9	414.4	466.1	609.3	1051.8	993.0
через	pr	873.8	832.0	925.2	767.9	939.9	792.9
да	conj	1350.2	1375.1	1241.9	484.8	659.6	522.4
здесь	advpro	1032.1	935.7	935.5	804.3	765.6	748.4
дом	s	831.6	931.1	948.5	1220.0	963.3	865.9
да	part	1121.6	1146.1	1181.7	382.5	443.5	430.0
потому	advpro	747.1	926.7	924.0	535.2	937.7	720.7
сторона	s	813.4	743.5	795.1	492.2	663.3	700.7
какой-то	apro	853.6	1012.0	1070.8	802.0	986.8	639.2
думать	v	1283.6	1159.1	1075.5	595.9	790.2	536.4
сделать	v	758.6	694.0	767.5	859.8	884.1	821.9
страна	s	183.8	148.7	232.5	762.0	785.0	1237.3
жить	v	728.8	905.2	843.9	1027.3	952.7	736.5
чем	conj	603.1	562.6	646.2	794.6	896.2	815.8
мир	s	378.4	406.1	492.0	925.0	661.1	902.5
об	pr	547.7	519.1	507.8	868.7	876.4	796.3
последний	a	539.7	622.7	651.0	810.9	671.7	868.0
случай	s	399.3	445.2	483.6	560.4	642.4	753.7
голова	s	1529.4	1258.1	1298.8	501.1	485.0	369.6
более	adv	309.3	356.8	432.4	659.7	695.9	895.6
делать	v	737.9	742.0	764.1	644.9	827.6	712.1
что-то	spro	870.2	1052.3	1047.0	527.8	716.8	470.6
смотреть	v	1223.5	904.7	869.1	467.0	563.5	415.5
ребенок	s	375.4	501.5	551.5	764.9	582.9	638.8
просто	part	547.1	585.0	806.7	341.0	585.1	652.2
конечно	adv	717.6	736.9	750.6	609.3	766.0	671.5
сила	s	621.9	528.0	531.2	729.4	714.2	707.3
российский	a	4.4	20.1	62.4	28.2	74.8	1001.0
конец	s	607.8	637.2	661.8	622.6	746.2	709.0
перед	pr	863.9	754.2	735.6	665.6	701.0	564.8
несколько	num	630.4	481.0	573.7	668.6	930.3	755.8
вид	s	400.6	458.2	532.9	477.3	494.9	555.3
система	s	85.8	65.1	72.5	137.9	208.4	726.2
всегда	advpro	632.2	658.7	655.8	845.0	908.3	648.5
работать	v	530.7	471.2	415.1	732.3	931.1	849.3
между	pr	441.0	409.9	462.2	613.7	580.0	634.5
три	num	562.4	623.8	600.4	612.2	639.4	646.0
нет	part	1000.3	1044.3	869.6	292.0	428.9	352.1
понять	v	855.5	907.3	954.6	526.3	566.0	408.9
пойти	v	1223.1	1021.0	859.7	421.0	486.4	401.2
часть	s	264.3	261.9	270.5	358.8	505.9	687.8
спросить	v	1416.2	1179.5	1106.8	320.2	405.4	233.3
город	s	497.0	524.4	501.8	585.6	761.2	736.5
дать	v	691.9	682.6	652.2	548.5	695.9	542.3
также	adv	97.5	107.2	109.1	567.8	348.1	684.4
никто	spro	751.0	795.4	802.5	514.4	568.6	505.9
понимать	v	820.1	799.0	788.2	455.1	545.5	443.5
получить	v	299.7	306.9	308.5	508.5	545.9	709.5
отношение	s	159.2	177.0	226.2	524.8	562.8	678.8
лишь	part	361.2	467.1	501.7	505.5	754.6	636.2
второй	anum	457.1	467.6	489.9	530.7	502.2	637.9
именно	part	322.4	386.9	471.6	459.6	625.1	680.4
ваш	apro	773.6	723.4	652.4	296.5	388.5	496.1
хотя	conj	396.5	579.9	589.1	391.4	678.3	609.7
ни	conj	605.8	701.1	681.9	601.9	615.9	540.0
сидеть	v	1029.4	979.4	874.5	535.2	635.0	336.2
над	pr	841.2	735.3	645.4	724.9	566.0	484.3
женщина	s	582.1	657.4	804.0	483.3	535.2	428.1
оказаться	v	395.6	416.4	609.4	438.8	567.1	645.4
русский	a	215.9	257.6	343.6	1003.6	584.8	783.2
один	anum	646.0	609.3	566.2	530.7	552.8	535.4
взять	v	862.6	840.0	751.3	400.3	475.4	410.4
прийти	v	749.7	699.0	645.6	603.4	598.0	481.1
являться	v	64.0	76.7	93.0	391.4	226.3	549.5
деньги	s	298.6	383.1	654.5	206.1	314.0	663.6
почему	advpro	715.9	681.2	695.1	386.9	500.8	419.4
вдруг	adv	1030.5	908.4	888.5	403.2	474.7	291.4
любить	v	587.7	701.8	635.0	698.2	614.1	461.1
стоить	v	547.7	542.8	562.0	432.9	485.7	532.6
почти	adv	447.2	536.1	592.5	644.9	633.2	540.5
земля	s	802.5	622.2	525.0	624.1	681.2	420.3
общий	a	216.1	244.2	292.7	415.1	503.3	529.3
ведь	part	825.6	778.8	676.8	366.2	551.7	402.2
машина	s	831.1	427.0	605.7	449.2	372.0	508.4
однако	conj	192.3	353.8	298.4	342.4	523.9	642.0
сразу	adv	710.7	692.4	682.8	421.0	491.2	423.9
